n_steps,final_price,final_fundamental,final_mispricing_pct,max_abs_mispricing_pct,mean_abs_mispricing_pct,max_drawdown_pct,annualised_sharpe,mean_rolling_vol,total_margin_calls,total_defaults,n_crash_steps,n_bubble_steps,mean_avg_leverage,max_avg_leverage,peak_ponzi_pct,final_avg_wealth,final_gini,momentum_fraction,n_momentum,seed
500,131.55562066412503,89.97992502399762,46.20552376437209,46.843959831065455,27.71861862904635,-12.960759548980413,0.8081545290217531,0.011895930762478251,31,0,0,388,0.3489611972628794,0.5213708264450194,0.0,4145.149289865483,0.48990051232160114,0.0,0,0
500,205.09274040544636,104.69675284349383,95.89216937036214,116.10634053001023,57.24599443321138,-13.9469001557487,2.0679337641749855,0.010920438454372752,31,0,0,398,0.4020142001873837,0.6107917788419513,0.0,6283.034827617041,0.5679480956489151,0.0,0,1
500,138.30840819776728,104.4374001853584,32.43187589148492,45.54295833718626,16.19030014529913,-13.56543968000926,0.9514901232514588,0.011459691715865613,29,0,0,131,0.40022173684485773,0.5772198600737477,0.0,4137.796954714191,0.5311952626746865,0.0,0,2
500,138.68706722583096,101.2144983038308,37.0229261123373,42.35803795481809,14.732369989900429,-17.525746208151542,1.0184164332674004,0.010791847619867635,26,0,0,122,0.3147269088614482,0.523576312231734,0.0,3402.6208284113804,0.489861676729326,0.0,0,3
500,163.95272723298936,93.36077006518951,75.61201253857348,78.7603777148142,43.41271649089586,-22.69637359956029,1.4438872033495591,0.011144896376957125,28,0,0,474,0.3490113106533999,0.46632707314034205,0.0,4431.375295469703,0.5421471870739172,0.0,0,4
500,198.27650272594056,120.40161257392113,64.67927504227386,73.8480743232772,29.353979983105603,-14.373943758238827,1.9410460134330094,0.011217757877935823,29,0,0,324,0.35184937918100867,0.5282878832062012,0.0,4979.215301806,0.5381116302678957,0.0,0,5
500,176.7829708022807,108.69839422513229,62.63623033486034,75.76960340345728,32.63075278329684,-19.49985419865726,1.5758086123956272,0.011540524810684795,29,0,0,340,0.37636224384531725,0.652361756918703,0.0,4747.60448413831,0.5307939466677074,0.0,0,6
500,126.78616817641695,103.63401694542264,22.340300910257152,23.927402865326133,6.565597899761759,-28.8581457748874,0.7343356979700851,0.011065132323751005,28,0,0,10,0.3907408419150995,0.6065272132370417,0.0,3674.6105005657314,0.4869952970065956,0.0,0,7
500,179.1016455494054,86.91511897507557,106.06500648151436,106.06500648151436,44.26661722607959,-16.439605055368798,1.7846258715969128,0.010402579211073683,27,0,0,331,0.3783468558250401,0.5476692308976376,0.0,4586.506326863606,0.5523814621115379,0.0,0,8
500,133.48082857057707,96.01704680257951,39.01784424283198,44.50976194238779,24.01094195452451,-15.64425791324231,0.8768313935546073,0.01112602039325597,28,0,0,330,0.3535837416969514,0.561543603514681,0.0,3827.550863919029,0.5320988755186211,0.0,0,9
500,154.1462513879166,81.56089925450657,88.99528180398208,95.12128883694162,42.8101042605592,-17.438755357180373,1.3039135426418216,0.01078750847059719,23,0,0,422,0.3455455644034705,0.6019449108043561,0.0,3472.010640095781,0.5248321709623525,0.1,4,0
500,115.50414687867686,89.64561840521503,28.84527870238613,29.768404403173676,12.768997544218472,-22.89974071173351,0.49370787930289056,0.010760234073760915,26,0,0,102,0.2899867731494701,0.5362051288178673,0.0,3175.1702341778932,0.4843821479148178,0.1,4,1
500,117.20270289157209,97.25849215189328,20.50639517270222,34.525813585893616,11.494281583179514,-22.08087645078872,0.5198376609356217,0.01119891946268109,26,0,0,122,0.36692383703163034,0.5121948409274169,0.0,3363.893860176472,0.5164617373654627,0.1,4,2
500,113.53623058570824,85.37617661969891,32.9835032218015,56.37312075104298,26.27428311707946,-18.723137635610627,0.46721941311757315,0.010130604999440646,22,0,0,324,0.3043019403719006,0.4678803529425702,0.0,2737.590416174032,0.4685061556149792,0.1,4,3
500,107.81097751546832,110.3033453530558,-2.2595577945618786,22.477766473084294,7.155821584241792,-23.26454605063337,0.3037785782294862,0.010510917622941325,27,0,0,10,0.376537272172969,0.5323846212911493,0.0,3394.932976917684,0.5043390645588799,0.1,4,4
500,157.42778253814726,92.92221596162312,69.4188853644697,69.4188853644697,28.62586510819317,-16.825214709607327,1.3750983203035039,0.010668288452690697,24,0,0,321,0.3764231825906511,0.641823002342391,0.0,4036.039213125708,0.5437196384717766,0.1,4,5
500,155.07122526535983,104.44132706308993,48.47688135146528,63.94970737766531,28.629043255415038,-14.361469411111901,1.3357498001668915,0.010669144363710225,25,0,0,404,0.37087697757534327,0.6109674549809502,0.0,3938.653269037505,0.5383099079865894,0.1,4,6
500,100.19397475001759,111.05839344254558,-9.782618274726383,11.680328383365982,3.689650990069836,-14.5911969688333,0.09351036147029763,0.010619931399399866,26,0,0,0,0.3418325012162587,0.5213814420837608,0.0,2969.695326326533,0.4615589060865777,0.1,4,7
500,115.84177873034785,94.8303801487626,22.156822052831792,37.32535128968018,12.09027378962767,-17.787419646590426,0.4997050338057132,0.01088877267244458,26,0,0,123,0.3036981430495653,0.48501660822246,0.0,3272.0034342747176,0.49915329951397736,0.1,4,8
500,108.53303530615388,102.57538386045597,5.808071314461491,10.659982201138488,3.307549388175358,-16.93268298029739,0.31261153630603794,0.011588304521637598,25,0,0,0,0.36378150116819985,0.5609415438013255,0.0,2996.0058597370225,0.4650681488146544,0.1,4,9
