momentum_fraction,crash_steps_mean,crash_steps_std,max_leverage_mean,max_leverage_std,peak_ponzi_mean,peak_ponzi_std,max_drawdown_mean,max_drawdown_std,total_margin_calls_mean,total_defaults_mean,gini_mean,sharpe_mean
0.0,0.0,0.0,0.5595675538507059,0.05408176754952645,0.0,0.0,-17.55110258928448,4.978109525283437,28.6,0.0,0.5261433946020804,1.32025296420154
0.1,0.0,0.0,0.5470739906214247,0.05636803639560383,0.0,0.0,-18.490503992238693,3.23576812365336,25.0,0.0,0.5006331177290068,0.6705132126279837
0.2,0.0,0.0,0.7177202409991179,0.05642311700281368,0.0,0.0,-20.330898693439913,8.11856754057341,23.5,0.0,0.5245183893048669,0.9611277159965532
0.3,0.0,0.0,0.8243807682192659,0.06964513158527201,0.0,0.0,-18.224990373572233,4.687970735202567,19.8,0.0,0.4988090937976527,0.8234923364543534
0.4,0.6,1.8973665961010278,1.1424716603574514,0.16926627800103108,0.0,0.0,-22.717456445668752,5.433788330729652,20.5,0.0,0.47975444456219174,0.6371624958747403
0.5,8.3,7.288499312082167,1.5318846585305146,0.1590246846621182,0.0,0.0,-35.56316068101609,17.15385581269212,18.8,0.0,0.39773472300467916,0.6751155729771636
0.6,66.4,29.254439359219006,1.8155234066945443,0.07425614140549013,0.0,0.0,-99.98890553811232,0.0006503530143364891,17.6,3.0,0.3494088228976088,4.868050447057469
0.7,106.6,15.04216296503487,1.9561268567012124,0.03939126030145175,0.0,0.0,-99.9891448960251,0.000797440115737582,13.4,4.6,0.2087687686874255,7.431767657339321
0.8,116.9,11.599329482536671,2.0147495264845134,0.06516386923904292,0.0,0.0,-99.98922090857712,0.0006245527504545504,7.4,2.8,0.1396870553926731,7.940041162624811
