frac_a,frac_b,p_raw,p_bonferroni,effect_r,significant
0.0,0.1,0.6231762238821174,1.0,-0.1399999999999999,False
0.0,0.2,0.00032983852077799353,0.011874186748007767,0.96,True
0.0,0.3,0.00018267179110955002,0.0065761844799438005,1.0,True
0.0,0.4,0.00018267179110955002,0.0065761844799438005,1.0,True
0.0,0.5,0.00018267179110955002,0.0065761844799438005,1.0,True
0.0,0.6,0.00018267179110955002,0.0065761844799438005,1.0,True
0.0,0.7,0.00018267179110955002,0.0065761844799438005,1.0,True
0.0,0.8,0.00018267179110955002,0.0065761844799438005,1.0,True
0.1,0.2,0.00032983852077799353,0.011874186748007767,0.96,True
0.1,0.3,0.00018267179110955002,0.0065761844799438005,1.0,True
0.1,0.4,0.00018267179110955002,0.0065761844799438005,1.0,True
0.1,0.5,0.00018267179110955002,0.0065761844799438005,1.0,True
0.1,0.6,0.00018267179110955002,0.0065761844799438005,1.0,True
0.1,0.7,0.00018267179110955002,0.0065761844799438005,1.0,True
0.1,0.8,0.00018267179110955002,0.0065761844799438005,1.0,True
0.2,0.3,0.0028272720911168077,0.10178179528020508,0.8,False
0.2,0.4,0.00018267179110955002,0.0065761844799438005,1.0,True
0.2,0.5,0.00018267179110955002,0.0065761844799438005,1.0,True
0.2,0.6,0.00018267179110955002,0.0065761844799438005,1.0,True
0.2,0.7,0.00018267179110955002,0.0065761844799438005,1.0,True
0.2,0.8,0.00018267179110955002,0.0065761844799438005,1.0,True
0.3,0.4,0.00024612812790522973,0.00886061260458827,0.98,True
0.3,0.5,0.00018267179110955002,0.0065761844799438005,1.0,True
0.3,0.6,0.00018267179110955002,0.0065761844799438005,1.0,True
0.3,0.7,0.00018267179110955002,0.0065761844799438005,1.0,True
0.3,0.8,0.00018267179110955002,0.0065761844799438005,1.0,True
0.4,0.5,0.0007685389131627665,0.027667400873859594,0.9,True
0.4,0.6,0.00018267179110955002,0.0065761844799438005,1.0,True
0.4,0.7,0.00018267179110955002,0.0065761844799438005,1.0,True
0.4,0.8,0.00018267179110955002,0.0065761844799438005,1.0,True
0.5,0.6,0.00043963875262656454,0.015826995094556325,0.94,True
0.5,0.7,0.00018267179110955002,0.0065761844799438005,1.0,True
0.5,0.8,0.00018267179110955002,0.0065761844799438005,1.0,True
0.6,0.7,0.00024612812790522973,0.00886061260458827,0.98,True
0.6,0.8,0.00032983852077799353,0.011874186748007767,0.96,True
0.7,0.8,0.014019277113959953,0.5046939761025583,0.6599999999999999,False
