frac_a,frac_b,p_raw,p_bonferroni,effect_r,significant
0.0,0.1,1.0,1.0,0.0,False
0.0,0.2,1.0,1.0,0.0,False
0.0,0.3,1.0,1.0,0.0,False
0.0,0.4,0.36812025069351895,1.0,0.09999999999999998,False
0.0,0.5,0.0002297443815579092,0.008270797736084731,0.9,True
0.0,0.6,6.386444750436982e-05,0.0022991201101573134,1.0,True
0.0,0.7,6.34028741729402e-05,0.002282503470225847,1.0,True
0.0,0.8,6.34028741729402e-05,0.002282503470225847,1.0,True
0.1,0.2,1.0,1.0,0.0,False
0.1,0.3,1.0,1.0,0.0,False
0.1,0.4,0.36812025069351895,1.0,0.09999999999999998,False
0.1,0.5,0.0002297443815579092,0.008270797736084731,0.9,True
0.1,0.6,6.386444750436982e-05,0.0022991201101573134,1.0,True
0.1,0.7,6.34028741729402e-05,0.002282503470225847,1.0,True
0.1,0.8,6.34028741729402e-05,0.002282503470225847,1.0,True
0.2,0.3,1.0,1.0,0.0,False
0.2,0.4,0.36812025069351895,1.0,0.09999999999999998,False
0.2,0.5,0.0002297443815579092,0.008270797736084731,0.9,True
0.2,0.6,6.386444750436982e-05,0.0022991201101573134,1.0,True
0.2,0.7,6.34028741729402e-05,0.002282503470225847,1.0,True
0.2,0.8,6.34028741729402e-05,0.002282503470225847,1.0,True
0.3,0.4,0.36812025069351895,1.0,0.09999999999999998,False
0.3,0.5,0.0002297443815579092,0.008270797736084731,0.9,True
0.3,0.6,6.386444750436982e-05,0.0022991201101573134,1.0,True
0.3,0.7,6.34028741729402e-05,0.002282503470225847,1.0,True
0.3,0.8,6.34028741729402e-05,0.002282503470225847,1.0,True
0.4,0.5,0.0012108402794582041,0.04359025006049535,0.81,True
0.4,0.6,8.744986536701464e-05,0.003148195153212527,1.0,True
0.4,0.7,8.686273303412756e-05,0.0031270583892285923,1.0,True
0.4,0.8,8.686273303412756e-05,0.0031270583892285923,1.0,True
0.5,0.6,0.000181651146091465,0.00653944125929274,1.0,True
0.5,0.7,0.0001806347208075351,0.006502849949071263,1.0,True
0.5,0.8,0.0001806347208075351,0.006502849949071263,1.0,True
0.6,0.7,0.007262595901896159,0.2614534524682617,0.72,False
0.6,0.8,0.001699394648926895,0.06117820736136822,0.84,False
0.7,0.8,0.1202444084356676,1.0,0.42000000000000004,False
