step,price,fundamental,return_,mispricing,abs_mispricing,rolling_volatility,rolling_momentum,buy_demand,sell_demand,net_demand,volume,aggregate_leverage,avg_leverage,max_leverage,n_margin_calls,n_defaults,avg_wealth,wealth_fundamental,wealth_momentum,wealth_noise,wealth_rl,pct_hedge,pct_speculative,pct_ponzi,bubble,crash,drawdown,gini
0,100.74032845714451,100.01980920926836,0.007403284571445123,0.0072037654697844344,0.0072037654697844344,0.0,0.0,25.46438517611743,0.0,25.46438517611743,25.46438517611743,2.551491517741963,0.07289975764977037,0.9757971641194451,0,0,1000.5386288282735,1000.0,1000.0,1001.8852008989568,0.0,1.0,0.0,0.0,False,False,0.0,0.0004897208184471147
1,100.94809300496776,99.91414821766031,0.0020623771135670488,0.010348332100625293,0.010348332100625293,0.0026704537289390373,0.002062377113567082,17.150261175117468,4.388784397520523,12.761476777596943,21.539045572637992,3.8401033560859528,0.10971723874531293,0.9758457735759528,0,0,1000.7655425118155,1000.0,1000.0,1002.6793987913537,0.0,1.0,0.0,0.0,False,False,0.0,0.0006777015240393425
2,101.01888420537777,99.87999332814084,0.000701263375094463,0.01140259264430741,0.01140259264430741,0.002892423266993535,0.0027650867581969257,0.15467828351753113,6.9662338237073325,-6.811555540189802,7.120912107224863,3.154750316362625,0.09013572332464642,0.9758622916108506,0,0,1000.8290812678458,1000.0,1000.0021899722735,1002.9006894513229,0.0,1.0,0.0,0.0,False,False,0.0,0.000731227320527772
3,101.73839371718184,99.94699149390028,0.007122524837447797,0.01792352322471737,0.01792352322471737,0.002981311906932121,0.009907305994757644,23.42559583228976,0.0,23.42559583228976,23.42559583228976,5.505755139888435,0.15730728971109814,1.6683202139278945,0,0,1001.9564478761962,1000.0,1000.032032565626,1006.8315512838738,0.0,0.9714285714285714,0.02857142857142857,0.0,False,False,0.0,0.0016878981544625749
4,101.48692401875675,100.23732101931053,-0.0024717286093992596,0.01246644450129998,0.01246644450129998,0.003807377619031388,0.007411089213689079,5.1984468956355085,8.449623767539926,-3.251176871904417,13.648070663175435,5.185636190833051,0.14816103402380146,1.7376602259476046,0,0,1001.5775745772588,1000.0,999.9946617568652,1005.5241801419727,0.0,0.9428571428571428,0.05714285714285714,0.0,False,False,-0.00247172860939925,0.001365716999549571
5,101.09938892673061,99.96083071744889,-0.0038185716610597,0.011390043491134996,0.011390043491134996,0.004297509652532062,0.003564217777380424,0.30817834567939406,7.130144682573604,-6.82196633689421,7.438323028252999,4.50180136368114,0.1286228961051754,1.6760766700390437,0,0,1001.0696771868338,1000.0,999.9515808997587,1003.7680797040396,0.0,0.9428571428571428,0.05714285714285714,0.0,False,False,-0.006280861797637244,0.0009535462424068442
6,101.34681034741018,99.82006517384674,0.002447308765227918,0.0152949727182051,0.0152949727182051,0.003984520011279234,0.006020249284016087,10.15953108363134,3.726644743876178,6.432886339755162,13.886175827507518,5.149968222075325,0.14714194920215212,1.6736528839840945,0,0,1001.4212593215556,1000.0,999.9648088571499,1004.9920031968692,0.0,0.9714285714285714,0.02857142857142857,0.0,False,False,-0.003848924240539888,0.0012263906699956362
7,101.00140666230531,99.70682054147518,-0.003408135726431283,0.012983927416395969,0.012983927416395969,0.0041228600981889916,0.002591595730917871,3.1993232544764396,10.21244186568683,-7.013118611210391,13.41176512016327,4.4457625076991505,0.12702178593426144,1.9817710296392856,0,0,1000.9762830463342,1000.0,999.9336176128306,1003.4501818557546,0.0,0.9714285714285714,0.02857142857142857,0.0,False,False,-0.0072439423107587145,0.0009165360731866468
8,101.59496120977755,99.52909813245302,0.005876695850947522,0.020756372920965206,0.020756372920965206,0.00414959512072628,0.008483521601744655,23.81225499687101,0.25714901648236616,23.555105980388646,24.069404013353378,5.155572196717193,0.14730206276334837,1.9710425440153791,1,0,1033.4176545511814,1000.0,999.9566914143,1116.9834452219852,0.0,0.9714285714285714,0.02857142857142857,0.0,False,False,-0.0014098169055332878,0.031127622822770595
9,101.64357860292104,99.17414858838322,0.000478541382018971,0.02489993662347486,0.02489993662347486,0.003955622185195191,0.008966122699915282,9.997627991386143,20.708410525023957,-10.710782533637815,30.7060385164101,3.382720423736326,0.09664915496389503,0.8900135257705357,1,0,1070.6816202833322,1000.0,999.9628781148746,1247.4042319342252,0.0,1.0,0.0,0.0,False,False,-0.0009319501792447142,0.062184755578161166
10,101.09235077793822,98.53981696445555,-0.005423144605486874,0.025903577783216267,0.025903577783216267,0.004283307309592395,0.003494353514476182,14.194466209675976,29.326834322030262,-15.132368112354285,43.52130053170624,3.5142567085295147,0.10040733452941471,1.0831970251294651,0,0,1070.019331814247,1000.0,999.8887424701585,1245.1232901147846,0.0,1.0,0.0,0.0,False,False,-0.006350040684144482,0.06197822094210603
11,100.90363249239606,99.062451434726,-0.001866790949957342,0.018586063952629343,0.018586063952629343,0.004176655598381122,-0.00044042944495757143,4.401447384779957,15.0322997395346,-10.630852354754644,19.433747124314557,2.9567190090228053,0.08447768597208015,1.4211398918055944,0,0,1069.847812585471,1000.0,999.8788507440935,1244.5279186771024,0.0,1.0,0.0,0.0,False,False,-0.008204977435620778,0.061997310893015856
12,101.86388032295817,99.01590063233724,0.009516484261698599,0.02876285195037473,0.02876285195037473,0.004642059784507946,0.008364734220014379,38.331514564204575,0.26207651358571366,38.069438050618864,38.593591077790286,6.0430707611259535,0.17265916460359867,1.4156967645023444,0,0,1071.7465372621696,1000.0,999.8788507440935,1251.1734550455465,0.0,1.0,0.0,0.0,False,False,0.0,0.06289877390030862
13,102.359520497158,99.10080463024826,0.004865710717365301,0.032882839640588454,0.032882839640588454,0.004559758235383532,0.00610513649058397,22.273947755513873,0.0,22.273947755513873,22.273947755513873,6.085934301860354,0.1738838371960101,0.9677416804619671,1,0,1107.1700687090536,1000.0,999.9410392189826,1375.1247208721961,0.0,1.0,0.0,0.0,False,False,0.0,0.08829780633583306
14,102.04587600841758,98.83480012773943,-0.0030641457405921058,0.03248932437287255,0.03248932437287255,0.004561172176444096,0.005507625687399112,24.8641161844369,28.603684547129035,-3.739568362692136,53.46780073156593,6.597663417987868,0.18850466908536767,1.5555198451110062,0,0,1106.3811098566455,1000.0,999.9123165827834,1372.3777262068677,0.0,0.9714285714285714,0.02857142857142857,0.0,False,False,-0.0030641457405921582,0.08780239586161231
15,102.24904305186631,98.73573105730046,0.001990938305355572,0.03558298456844293,0.03558298456844293,0.004418963890981316,0.011371523975964701,22.241508300854726,5.855979402447888,16.38552889840684,28.097487703302612,7.89689023651436,0.22562543532898172,1.4772007254853934,0,0,1106.9771782324574,1000.0,999.9291011031934,1374.4555732620047,0.0,1.0,0.0,0.0,False,False,-0.0010793079603646657,0.08816696733321683
16,102.1425916516834,98.6694224654855,-0.0010410992318912182,0.03520005589789298,0.03520005589789298,0.004325355684564943,0.00785206067704878,13.953010900816617,12.420694839290249,1.5323160615263678,26.373705740106864,8.060296802828141,0.23029419436651832,1.5815878492706137,0,0,1106.639034616961,1000.0,999.9109433834514,1373.2811494676384,0.0,0.9714285714285714,0.02857142857142857,0.0,False,False,-0.0021192835255673275,0.08796575446957688
